Video_Title,Date_Posted,Likes,Dislikes,Views,Comments,Length,Resolution,Speaker_Sex,URL,Normalized_Likes,Normalized_Dislikes,Normalized_Views,Normalized_,Popularity
10 things you didn't know about orgasm ,05/20/2009,80222,8035,13099282,5170,17M12S,sd,F,https://www.youtube.com/watch?v=7jx0dTYUO5E,0.26256932,0.564700921,0.631608219,0.20164625100000003,2
A call to men ,12/10/2010,10442,530,635931,1947,11:46,SD,M,https://www.youtube.com/watch?v=td1PbsV6B80,0.033997517000000005,0.037182821,0.030418163999999998,0.07591480099999999,2
"Abha Dawesar: Life in the ""digital now""",10/30/2013,1248,451,153554,186,12:02,HD,F,https://www.youtube.com/watch?v=lV3trdyDdHE,0.003881593,0.031629999,0.007149923000000001,0.007216976999999999,1
"Adam Garone: Healthier men, one moustache at a time",07/14/2015,141,8,10649,13,16:38,HD,M,https://www.youtube.com/watch?v=sFNmulAb4wM,0.000255497,0.0004920219999999999,0.00025666700000000003,0.00046812800000000006,0
Alice Dreger: Is anatomy destiny?,06/10/2011,1550,114,106643,257,18:49,SD,F,https://www.youtube.com/watch?v=59-Rn1_kWAA,0.004870826,0.007942644,0.004887094,0.009986736,1
Anand Giridharadas: A tale of two Americas. And the mini-mart where they collided,03/24/2015,12100,342,475818,1006,19:28,HD,M,https://www.youtube.com/watch?v=8i-pNVj5KMw,0.039428472,0.023968511,0.022694852,0.039205742,2
Annie Murphy Paul: What we learn before we're born,11/29/2011,1507,91,201754,144,16M47S,sd,F,https://www.youtube.com/watch?v=stngBN4hp14,0.004729975,0.006326,0.009474928,0.0055785290000000005,1
"Ariel Garten: Know thyself, with a brain scanner",01/26/2012,571,328,60507,268,15M5S,sd,F,https://www.youtube.com/watch?v=8rzlrItooG4,0.0016640079999999998,0.022984466000000002,0.0026616490000000003,0.010415854,0
Aspen Baker: A better way to talk about abortion,07/14/2015,2661,1451,180919,1904,10M59S,hd,F,https://www.youtube.com/watch?v=P5Mpo4JQZhw,0.008510025,0.10191888699999999,0.008469918,0.074237341,1
Ben Goldacre: Battling Bad Science,09/30/2011,10489,128,599615,612,14M20S,sd,M,https://www.youtube.com/watch?v=h4MhbkWJzKk,0.034151471,0.008926689,0.028666402,0.023835531,2
Benjamin Barber: Why mayors should rule the world,09/20/2013,1125,194,99296,309,18M6S,hd,M,https://www.youtube.com/watch?v=P-lBlZ3hqKc,0.003478694,0.013565755,0.0045327,0.012015292,1
Bjorn Lomborg: Global priorities bigger than climate change,01/12/2007,2124,359,265517,897,17M28S,sd,M,https://www.youtube.com/watch?v=Dtbn9zBfJSs,0.0067510240000000004,0.025163422,0.012550641000000001,0.034953577,1
