Video_Title,Date_Posted,Likes,Dislikes,Views,Comments,Length,Resolution,Speaker_Sex,URL,Normalized_Likes,Normalized_Dislikes,Normalized_Views,Normalized_
10 things you didn't know about orgasm ,05/20/2009,80222,8035,13099282,5170,17M12S,sd,F,https://www.youtube.com/watch?v=7jx0dTYUO5E,0.26256932,0.564700921,0.631608219,0.201646251
A call to men ,12/10/2010,10442,530,635931,1947,11:46,SD,M,https://www.youtube.com/watch?v=td1PbsV6B80,0.033997517,0.037182821,0.030418164,0.075914801
"Abha Dawesar: Life in the ""digital now""",10/30/2013,1248,451,153554,186,12:02,HD,F,https://www.youtube.com/watch?v=lV3trdyDdHE,0.003881593,0.031629999,0.007149923,0.007216977
"Adam Garone: Healthier men, one moustache at a time",07/14/2015,141,8,10649,13,16:38,HD,M,https://www.youtube.com/watch?v=sFNmulAb4wM,0.000255497,0.000492022,0.000256667,0.000468128
Alice Dreger: Is anatomy destiny?,06/10/2011,1550,114,106643,257,18:49,SD,F,https://www.youtube.com/watch?v=59-Rn1_kWAA,0.004870826,0.007942644,0.004887094,0.009986736
Anand Giridharadas: A tale of two Americas. And the mini-mart where they collided,03/24/2015,12100,342,475818,1006,19:28,HD,M,https://www.youtube.com/watch?v=8i-pNVj5KMw,0.039428472,0.023968511,0.022694852,0.039205742
Annie Murphy Paul: What we learn before we're born,11/29/2011,1507,91,201754,144,16M47S,sd,F,https://www.youtube.com/watch?v=stngBN4hp14,0.004729975,0.006326,0.009474928,0.005578529
"Ariel Garten: Know thyself, with a brain scanner",01/26/2012,571,328,60507,268,15M5S,sd,F,https://www.youtube.com/watch?v=8rzlrItooG4,0.001664008,0.022984466,0.002661649,0.010415854
Aspen Baker: A better way to talk about abortion,07/14/2015,2661,1451,180919,1904,10M59S,hd,F,https://www.youtube.com/watch?v=P5Mpo4JQZhw,0.008510025,0.101918887,0.008469918,0.074237341
Ben Goldacre: Battling Bad Science,09/30/2011,10489,128,599615,612,14M20S,sd,M,https://www.youtube.com/watch?v=h4MhbkWJzKk,0.034151471,0.008926689,0.028666402,0.023835531
Benjamin Barber: Why mayors should rule the world,09/20/2013,1125,194,99296,309,18M6S,hd,M,https://www.youtube.com/watch?v=P-lBlZ3hqKc,0.003478694,0.013565755,0.0045327,0.012015292
Bjorn Lomborg: Global priorities bigger than climate change,01/12/2007,2124,359,265517,897,17M28S,sd,M,https://www.youtube.com/watch?v=Dtbn9zBfJSs,0.006751024,0.025163422,0.012550641,0.034953577
Bobby Ghosh: Why global jihad is losing,12/03/2012,1044,259,44212,534,16:32,HD,M,https://www.youtube.com/watch?v=aeVt_WlH1qY,0.00321337,0.018134533,0.001875633,0.020792697
Boghuma Kabisen Titanji: Ethical riddles in HIV research,01/10/2013,310,62,38824,60,11M11S,hd,F,https://www.youtube.com/watch?v=FcecqQkyKoM,0.000809075,0.004287622,0.001615734,0.002301631
"Bono: The good news on poverty (Yes, there's good news)",03/14/2013,2663,531,225269,730,13:58,SD,M,https://www.youtube.com/watch?v=BdDkF0Lw-ag,0.008516576,0.03725311,0.010609213,0.028438792
Brian Goldman: Doctors make mistakes. Can we talk about that?,01/25/2012,4752,58,286170,386,19M29S,sd,M,https://www.youtube.com/watch?v=iUbfRzxNy20,0.015359318,0.004006467,0.013546872,0.015019115
Caroline Casey: Looking past limits,04/08/2011,6881,234,425935,467,19M18S,sd,F,https://www.youtube.com/watch?v=YyBk55G7Keo,0.022333083,0.016377311,0.020288664,0.018178981
Charmian Gooch: Meet global corruption's hidden players,07/08/2013,17586,629,871690,3430,14M28S,hd,F,https://www.youtube.com/watch?v=Nhx1_yXMwCg,0.057398448,0.044141421,0.041790384,0.133767652
"Choice, happiness and spaghetti sauce ",01/16/2007,11760,368,1617342,590,18M16S,sd,M,https://www.youtube.com/watch?v=iIiAAhUeR6Y,0.038314766,0.025796022,0.077758123,0.022977296
Chris Abani on the stories of Africa,08/09/2007,185,13,28888,22,19:35,SD,M,https://www.youtube.com/watch?v=nrbiIWD_CxI,0.000399624,0.000843467,0.001136455,0.000819224
Dalia Mogahed: The attitudes that sparked Arab Spring,05/30/2012,1073,255,73329,269,14M33S,hd,F,https://www.youtube.com/watch?v=RG5QP2EVUVY,0.003308362,0.017853377,0.003280139,0.010454865
Dan Barber: How I fell in love with a fish,03/10/2010,3609,105,272103,270,19M31S,sd,M,https://www.youtube.com/watch?v=4EUAMe2ixCI,0.0116153,0.007310044,0.012868327,0.010493875
"David Keith: A surprising idea for ""solving"" climate change",11/15/2007,520,311,80908,502,16M5S,sd,M,https://www.youtube.com/watch?v=XkEys3PeseA,0.001496952,0.021789555,0.003645725,0.019544355
"Debra Jarvis: Yes, I survived cancer. But that doesn't define me",10/30/2014,742,49,55597,54,16:14,HD,F,https://www.youtube.com/watch?v=4n8qT0vQbWk,0.002224137,0.003373867,0.002424807,0.002067567
Defend our freedom to share (or why SOPA is a bad idea) ,01/18/2012,9789,70,506766,847,14:00,SD,M,https://www.youtube.com/watch?v=9h2dF-IsH0I,0.031858546,0.004849933,0.024187679,0.033003043
Diana Nyad: Extreme swimming with the world's most dangerous jellyfish,01/24/2012,1207,54,88739,164,16M58S,sd,F,https://www.youtube.com/watch?v=c6mhFgAjqwA,0.003747294,0.003725311,0.004023466,0.006358742
Dilip Ratha: The hidden force in global economics: sending money home,10/09/2014,1258,30,82030,107,17:04,HD,M,https://www.youtube.com/watch?v=Oj8eFu72_fc,0.003914349,0.002038378,0.003699846,0.004135133
Eleni Gabre-Madhin: Building a commodities market in Ethiopia,10/26/2007,219,15,79800,68,20M47S,sd,F,https://www.youtube.com/watch?v=9ZwNaaJxw40,0.000510995,0.000984044,0.003592278,0.002613716
Emma Teeling: The secret of the bat genome,07/15/2015,63,1,5328,1,16:23,HD,F,https://www.youtube.com/watch?v=GROCkg810R0,0,0,0,0
Eva Vertes: My dream about the future of medicine,01/16/2007,284,25,33371,33,19:35,SD,F,https://www.youtube.com/watch?v=z42lVW3z1_w,0.000723909,0.001686933,0.0013527,0.001248342
Everything you think you know about addiction is wrong ,07/09/2015,190180,4200,7802432,12818,14M43S,hd,M,https://www.youtube.com/watch?v=PY9DcIMGxMs,0.62274843,0.295143038,0.376106024,0.5
"Gayle Tzemach Lemmon: Women entrepreneurs, example not exception",01/27/2012,776,419,75770,288,13M17S,sd,F,https://www.youtube.com/watch?v=vw5HJhIlJp4,0.002335507,0.029380755,0.003397885,0.011196068
Greening the ghetto ,01/07/2007,1477,53,163148,86,19M16S,sd,F,https://www.youtube.com/watch?v=gQ-cZRmHfs4,0.004631707,0.003655022,0.007612705,0.003315909
Gregory Stock: To upgrade is human,04/14/2009,464,64,41508,204,17:52,SD,M,https://www.youtube.com/watch?v=hVsnkRoYfX0,0.001313518,0.0044282,0.001745201,0.00791917
Heather Brooke: My battle to expose government corruption,10/18/2012,4263,126,204973,769,18:58,HD,F,https://www.youtube.com/watch?v=sYUjyH8Y0No,0.013757546,0.008786111,0.009630202,0.029960209
Hector Ruiz: The power to connect the world,05/08/2008,124,16,20496,11,20:31,SD,M,https://www.youtube.com/watch?v=d21Eyvhk9Z4,0.000199812,0.001054333,0.000731653,0.000390107
How childhood trauma affects health across a lifetime ,02/17/2015,96249,1123,3508205,6460,16:03,HD,F,https://www.youtube.com/watch?v=95ovIJ3dsNk,0.315067461,0.078864132,0.168966983,0.25197004
